ID,Nome_Item,Categoria,Subcategoria,Compostos_Chave,Fonte_Alimentar,Tipo_Obtencao,Beneficio_Principal,Mecanismo_Acao,Objetivo_Primario,Cronobiologia_Periodo,Momento_Refeicao,Funcao_Cronobiologica,Forma_Consumo,Uso_Pratico,Observacoes,
1,Spirulina,Alimento Funcional,Cianobactéria,Ficocianina,Arthrospira platensis,Matriz Alimentar,Antioxidante celular,Ação via ficocianina,Imunidade e Longevidade,Manhã,Independente,Ativação,Pó,Smoothies/iogurtes/sopas,
2,Matcha,Alimento Funcional,Chá,EGCG + L-teanina,Camellia sinensis,Matriz Alimentar,Energia mental focada,Ondas alfa,Cognição e Foco,Manhã,Independente,Sustentação Mental,Pó,Chá/latte/smoothie,
3,Camu-camu,Alimento Funcional,Fruta,Vitamina C,Myrciaria dubia,Matriz Alimentar,Antioxidante estrutural,Colágeno e ROS,Imunidade e Pele,Qualquer horário,Independente,Suporte Estrutural,Pó/Suco,Smoothies/sucos,
4,Sacha inchi,Alimento Funcional,Oleaginosa,Ômega-3 ALA,Plukenetia volubilis,Matriz Alimentar,Perfil lipídico saudável,Ácidos graxos essenciais,Saúde Cardiovascular,Almoço,Durante a refeição,Metabolismo Lipídico,Óleo/Semente,Alimentos,
5,Moringa,Alimento Funcional,Folha,Isotiocianatos,Moringa oleifera,Matriz/Suplemento,Ativação celular,Nrf2,Longevidade Celular,Manhã,Independente,Ativação,Pó/Cápsula,Receitas,
6,Ashwagandha,Fitoterápico,Adaptógeno,Withanolides,Withania somnifera,Suplementação,Redução do estresse,Eixo HPA,Gerenciamento de Estresse,Noite,Independente,Relaxamento,Cápsula/Chá,,
7,Lion's Mane,Suplemento,Cogumelo,Hericenonas,Hericium erinaceus,Suplementação,Neurogênese,NGF,Cognição,Manhã,Independente,Neuroplasticidade,Pó/Extrato,Café/chá,
8,Chaga,Suplemento,Cogumelo,Betulina,Inonotus obliquus,Suplementação,Proteção imune,Citotoxicidade seletiva,Imunidade,Manhã,Independente,Proteção Celular,Chá/Extrato,,
9,Saffron,Fitoterápico,Especiaria,Crocina,Crocus sativus,Matriz/Extrato,Humor,Serotonina,Humor e Bem-estar,Tarde,Independente,Estabilidade Emocional,Extrato/Chá,,
10,Ginkgo biloba,Fitoterápico,Nootrópico,Ginkgólidos,Ginkgo biloba,Suplementação,Fluxo cerebral,Vasodilatação,Cognição,Manhã,Independente,Fluxo Cerebral,Cápsula,,
11,Royal jelly,Alimento Funcional,Apícola,10-HDA,Geleia real,Matriz/Suplemento,Regeneração,Fatores de crescimento,Imunidade,Manhã,Jejum,Vitalidade,Sublingual,,
12,Nattō,Alimento Funcional,Fermentado,Vitamina K2,Soja fermentada,Matriz Alimentar,Saúde óssea,Nattokinase,Saúde Cardiovascular,Noite,Durante a refeição,Microbiota,Alimento,Arroz,
13,Baobab,Alimento Funcional,Fruta,Pectinas + Polifenóis,Adansonia digitata,Matriz Alimentar,Pré-biótico e controle glicêmico,Fibra solúvel e microbiota,Saúde Intestinal,Qualquer horário,Independente,Modulação Glicêmica,Pó,Smoothies/sucos,
14,Sea buckthorn,Alimento Funcional,Fruta/Óleo,Ômega-7,Hippophaë rhamnoides,Matriz Alimentar,Regeneração de mucosas,Epitelização,Pele e Mucosas,Qualquer horário,Independente,Regeneração,Óleo/Suco,,
15,Black garlic,Alimento Funcional,Fermentado,S-alil-cisteína,Alho fermentado,Matriz Alimentar,Antioxidante potente,Redução de estresse oxidativo,Imunidade e Coração,Almoço,Durante a refeição,Antioxidante,Alimento,Puro ou culinária,
16,Goji berry,Alimento Funcional,Fruta,Polissacarídeos LBPs,Lycium barbarum,Matriz Alimentar,Imunidade e energia,Modulação imune,Imunidade,Manhã,Independente,Energia Suave,Fruta,Smoothies/lanches,
17,Chlorella,Alimento Funcional,Alga,Clorofila bioativa,Chlorella vulgaris,Suplementação,Desintoxicação,Quelante metálico,Detoxificação,Noite,Independente,Limpeza Celular,Comprimidos/Pó,Evitar junto a medicamentos,
18,Maca Peruana,Alimento Funcional,Raiz,Macamidas,Lepidium meyenii,Matriz Alimentar,Regulação hormonal,Modulação endócrina,Vitalidade Hormonal,Manhã,Independente,Energia Física,Pó,Bebidas,
19,Graviola,Alimento Funcional,Fruta,Acetogeninas,Annona muricata,Matriz Alimentar,Saúde celular,Citotoxicidade seletiva,Saúde Celular,Qualquer horário,Independente,Preventivo,Polpa/Chá,,
20,Kefir,Alimento Funcional,Fermentado,Probióticos,Kefir de leite/água,Matriz Alimentar,Saúde intestinal,Colonização bacteriana,Microbiota,Noite,Durante a refeição,Diversidade Microbiana,Bebida,,
21,Folha de amoreira,Fitoterápico,Chá,DNJ,Morus alba,Infusão,Controle glicêmico,Inibição alfa-glucosidase,Controle Glicêmico,Almoço,Antes da refeição,Bloqueio de Carboidratos,Chá,,
22,Batata-doce fermentada,Alimento Funcional,Prebiótico,Dextrina resistente,Batata-doce,Matriz Alimentar,Produção de butirato,Fermentação colônica,Saúde Intestinal,Almoço,Durante a refeição,Nutrição Intestinal,Alimento,,
23,Cupuaçu,Alimento Funcional,Fruta,Teobromina + TCM,Theobroma grandiflorum,Matriz Alimentar,Energia sustentada,Estimulação leve,Energia Mental,Manhã,Independente,Energia Sustentada,Polpa,,
24,Piper longum,Especiaria,Pimenta,Piperlongumina,Piper longum,Matriz Alimentar,Metabolismo e nervos,Ativação metabólica,Metabolismo,Almoço,Durante a refeição,Termogênico,Tempero/Infusão,,
25,Bael fruit,Alimento Funcional,Fruta,Marmelide,Aegle marmelos,Matriz Alimentar,Regulação intestinal,Normalização do trânsito,Saúde Intestinal,Qualquer horário,Independente,Regulação Intestinal,Chá/Extrato,,
26,Dulse,Alimento Funcional,Alga,Arginina-polissacarídeo,Palmaria palmata,Matriz Alimentar,Vasodilatação,Aumento de óxido nítrico,Performance Mitocondrial,Manhã,Independente,Vasodilatação,Alga,Salgados/snacks,
27,Guayusa,Alimento Funcional,Chá,Teobromina + L-teanina,Ilex guayusa,Infusão,Energia sem crash,Estímulo equilibrado,Cognição e Foco,Manhã,Independente,Foco Sustentado,Chá,,
28,Kakadu plum,Alimento Funcional,Fruta,Vitamina C extrema,Terminalia ferdinandiana,Suplemento/Pó,Antioxidante potente,Neutralização radicalar,Pele e Imunidade,Manhã,Independente,Antioxidante,Pó,,
29,Algaroba,Alimento Funcional,Leguminosa,Fibras lentas,Prosopis juliflora,Matriz Alimentar,Saciedade prolongada,Retardo glicêmico,Controle de Apetite,Almoço,Durante a refeição,Saciedade,Farinha,,
30,Baikal skullcap,Fitoterápico,Raiz,Baicalina,Scutellaria baicalensis,Extrato/Chá,Neuroproteção,Anti-inflamatório cerebral,Neuroproteção,Noite,Independente,Anti-inflamatório Neural,Chá/Extrato,,
31,Resveratrol,Composto Bioativo,Polifenol,Resveratrol,Uva roxa (casca/semente),Matriz Alimentar/Suplemento,Anti-inflamatório e longevidade,Ativação de sirtuínas,Longevidade e Coração,Almoço,Durante a refeição,Anti-inflamatório Lipossolúvel,Cápsula/Alimento,Com gordura,
32,Quercetina,Composto Bioativo,Flavonoide,Quercetina,Cebola/Frutas vermelhas,Matriz Alimentar,Modulação imune,Estabilização mastocitária,Imunidade,Almoço,Durante a refeição,Modulação Imune,Alimento,,
33,Curcumina,Composto Bioativo,Polifenol,Curcumina,Cúrcuma longa,Matriz Alimentar,Anti-inflamatório sistêmico,Inibição NF-kB,Dor e Inflamação,Almoço,Durante a refeição,Anti-inflamatório,Cápsula/Tempero,Com pimenta preta e gordura,
34,Sulforafano,Composto Bioativo,Isotiocianato,Sulforafano,Brócolis/Couve,Matriz Alimentar,Desintoxicação celular,Ativação Nrf2,Detoxificação,Almoço,Durante a refeição,Proteção Celular,Alimento,Preferir cru ou pouco cozido,
35,Alicina,Composto Bioativo,Organossulfurado,Alicina,Alho cru,Matriz Alimentar,Cardioproteção,Ação antimicrobiana,Saúde Cardiovascular,Almoço,Durante a refeição,Cardioproteção,Alimento,Consumir amassado/cru,
36,Triptofano,Nutriente,Aminoácido,Triptofano,Ovos/Leite/Banana,Matriz Alimentar,Humor e sono,Síntese de serotonina,Humor e Sono,Noite,Independente,Precursor Neuroquímico,Alimento,,
37,Melatonina Natural,Nutriente,Hormônio,Melatonina,Kiwi/Cereja/Nozes,Matriz Alimentar,Indução do sono,Sinalização circadiana,Sono e Reparo,Noite,Independente,Indução do Sono,Alimento,,
38,Berberina,Suplemento Isolado,Alcaloide,Berberina,Extrato isolado,Suplementação Estratégica,Controle glicêmico,Ativação AMPK,Controle Glicêmico,Almoço,Antes da refeição,Metabolismo da Glicose,Cápsula,Evitar uso contínuo prolongado,
39,Morosil,Suplemento Isolado,Extrato Padronizado,Antocianinas Moro,Laranja Moro,Suplementação Estratégica,Gordura visceral,Regulação adipocitária,Gerenciamento de Peso,Manhã,Independente,Metabolismo,Cápsula,,
40,Glucomanano,Suplemento/Fibra,Fibra Solúvel,Glucomanano,Raiz de konjac,Suplementação Estratégica,Saciedade mecânica,Expansão gástrica,Controle de Apetite,Almoço,Antes da refeição,Saciedade,Cápsula/Pó,Com muita água,
41,Coenzima Q10 (Ubiquinol),Suplemento,Coenzima,CoQ10,Suplemento,Suplementação Estratégica,Energia celular,ATP mitocondrial,Performance Mitocondrial,Manhã,Durante a refeição,Energia Mitocondrial,Cápsula,Com gordura,
42,PQQ,Suplemento,Quinona,PQQ,Suplemento,Suplementação Estratégica,Biogênese mitocondrial,Criação de mitocôndrias,Cognição e Energia,Manhã,Independente,Biogênese,Cápsula,Associar com CoQ10,
43,Ácido Alfa-lipoico,Suplemento,Antioxidante,ALA,Suplemento,Suplementação Estratégica,Energia e antioxidante,Regeneração redox,Metabolismo,Manhã,Independente,Cofator Energético,Cápsula,,
44,NAD+ (Precursores),Suplemento,Nucleotídeo,NMN/NR,Suplemento,Suplementação Estratégica,Longevidade e reparo,Ativação sirtuínas,Longevidade e Energia,Manhã,Independente,Reparo Celular,Cápsula/Sublingual,,
45,Complexo B (Metilado),Suplemento,Nutriente,B-complexo,Ovos/Carnes,Suplementação Estratégica,Cognição e mielina,Metilação neural,Cognição,Manhã,Independente,Base Bioquímica,Cápsula,Formas metiladas,
46,Noopept,Nootrópico,Farmacológico,Peptídeo sintético,-,Farmacológico,Neuroplasticidade,BDNF/NGF,Cognição Avançada,Manhã,Independente,Neuroplasticidade,Sublingual,Dose baixa,
47,Fenilpiracetam,Nootrópico,Racetam,Derivado Piracetam,-,Farmacológico,Resistência e foco,Modulação dopaminérgica,Foco Extremo,Manhã,Independente,Estimulante,Cápsula,Uso pontual,
48,Aniracetam,Nootrópico,Racetam,Aniracetam,-,Farmacológico,Criatividade,Modulação AMPA,Criatividade,Manhã,Durante a refeição,Fluidez Mental,Cápsula,Com gordura,
49,Oxiracetam,Nootrópico,Racetam,Oxiracetam,-,Farmacológico,Raciocínio lógico,Ativação colinérgica,Raciocínio,Manhã,Independente,Lógica,Cápsula,,
50,Semax / Selank,Nootrópico,Peptídeo,Peptídeos regulatórios,-,Farmacológico,Clareza mental,Modulação eixo HPA,Clareza Mental,Manhã,Independente,Modulação Neural,Spray nasal,,
51,Bacopa monnieri,Fitoterápico,Adaptógeno,Bacosídeos,Bacopa monnieri,Suplementação Estratégica,Memória longa,Modulação BDNF,Memória,Almoço,Durante a refeição,Consolidação,Cápsula,,
52,Inulina / Psyllium,Alimento/Suplemento,Prebiótico,Fibras solúveis,Chicória/Psyllium,Matriz Alimentar,Saúde intestinal,Produção AGCC,Microbiota,Almoço,Independente,Manutenção da Barreira,Pó,Com água,
53,Magnésio (Treonato/Glicinato),Suplemento,Mineral,Magnésio,Suplemento,Suplementação Estratégica,Relaxamento neural,Antagonismo NMDA,Sono e Cérebro,Noite,Independente,Desativação Neural,Cápsula,,
54,Glicina,Suplemento/Alimento,Aminoácido,Glicina,Colágeno,Suplementação Estratégica,Qualidade do sono,Neurotransmissor inibitório,Sono,Noite,Independente,Indução do Sono,Pó/Cápsula,3–5g,
55,Taurina,Suplemento,Aminoácido,Taurina,Carnes/Peixes,Suplementação Estratégica,Relaxamento e coração,Modulação GABA,Relaxamento,Noite,Independente,Relaxamento,Cápsula/Pó,,
56,Ômega-3 (EPA/DHA),Suplemento/Alimento,Lipídio,EPA/DHA,Peixes/Óleo de peixe,Suplementação Estratégica,Anti-inflamatório estrutural,Membranas neuronais,Saúde Cardiovascular,Almoço,Durante a refeição,Estrutura Celular,Cápsula,Livre de metais pesados
